Chamidi1,NipunaM6,IsuruAp6,UoM_Wireless11,UNIC-wifi11
-83,-55,-59,-89,-86
-100,-56,-63,-91,-85
-72,-57,-57,-89,-89
-74,-56,-56,-93,-85
-74,-56,-56,-91,-88
-73,-65,-58,-87,-85
-75,-64,-63,-91,-84
-73,-63,-56,-89,-86
-72,-64,-52,-90,-87
-73,-64,-55,-90,-87
-76,-62,-56,-91,-84
-79,-62,-56,-91,-85
-71,-58,-53,-91,-84
-77,-57,-55,-91,-85
-75,-64,-55,-91,-84
-76,-61,-53,-89,-85
-79,-58,-52,-91,-90
-71,-64,-55,-90,-87
-84,-53,-59,-90,-85
-77,-58,-51,-92,-87
-72,-64,-52,-90,-87
-69,-61,-55,-91,-85
-78,-53,-62,-90,-87
-85,-57,-52,-91,-84
-77,-58,-53,-91,-89
-77,-60,-53,-89,-85
-75,-63,-56,-88,-84
-75,-58,-52,-91,-89
-76,-63,-57,-92,-84
-80,-51,-59,-89,-85
-81,-63,-57,-88,-84
-85,-63,-57,-89,-87
-81,-58,-54,-91,-90
-70,-64,-51,-90,-87
-79,-59,-56,-91,-89
-73,-62,-57,-91,-87
-69,-61,-53,-91,-89
-79,-55,-55,-94,-89
-71,-55,-56,-91,-89
-75,-57,-58,-91,-89
-72,-58,-52,-91,-89
-72,-58,-59,-91,-87
-73,-61,-56,-91,-87
-88,-58,-49,-91,-89
-100,-63,-56,-91,-86
-71,-63,-52,-89,-88
-77,-63,-52,-86,-85
-85,-58,-58,-91,-89
-80,-54,-59,-89,-85
-80,-52,-61,-89,-85
-70,-64,-53,-90,-87
-77,-64,-54,-89,-85
-70,-64,-55,-90,-87
-84,-58,-57,-91,-87
-78,-58,-53,-90,-89
-75,-63,-57,-91,-84
-71,-60,-55,-90,-89
-71,-63,-53,-94,-88
-77,-58,-47,-91,-87
-74,-57,-63,-92,-88
-76,-65,-56,-91,-84
-75,-66,-58,-91,-84
-77,-62,-53,-89,-85
-75,-62,-51,-89,-85
-77,-63,-57,-88,-85
-71,-63,-63,-89,-85
-100,-54,-58,-89,-89
-74,-54,-52,-89,-89
-76,-57,-56,-91,-89
-75,-58,-52,-91,-86
-79,-61,-58,-89,-85
-76,-64,-55,-91,-84
-72,-57,-55,-92,-87
-69,-56,-53,-88,-87
-71,-62,-55,-92,-87
-77,-63,-51,-94,-87
-71,-65,-54,-93,-87
-100,-58,-55,-91,-89
-77,-63,-55,-91,-86
-75,-60,-54,-87,-85
-72,-64,-53,-90,-87
-75,-58,-55,-89,-89
-77,-65,-56,-91,-84
-76,-58,-51,-89,-85
-77,-58,-53,-92,-87
-78,-60,-58,-89,-85
-77,-58,-61,-92,-85
-69,-64,-51,-93,-88
-69,-67,-54,-92,-85
-100,-58,-53,-91,-84
-74,-62,-52,-90,-85
-77,-54,-57,-89,-85
-74,-58,-57,-93,-88
-70,-57,-52,-89,-84
-76,-58,-54,-91,-84
-75,-64,-52,-91,-84
-80,-58,-56,-91,-84
-72,-58,-52,-91,-86
-70,-63,-56,-90,-87
-81,-63,-56,-89,-85
-81,-57,-57,-89,-85
-75,-55,-67,-90,-90
-77,-58,-53,-89,-89
-75,-63,-54,-91,-84
-84,-54,-57,-90,-85
-73,-67,-57,-93,-86
-75,-64,-56,-89,-84
-76,-58,-51,-92,-89
-75,-57,-57,-93,-87
-77,-63,-54,-91,-88
-73,-58,-54,-88,-89
-100,-58,-52,-91,-89
-72,-64,-54,-90,-88
-75,-58,-56,-91,-87
-72,-64,-53,-90,-87
-77,-65,-56,-91,-84
-70,-64,-52,-86,-87
-79,-51,-60,-89,-87
-70,-63,-57,-90,-87
-75,-58,-49,-92,-87
-70,-64,-52,-90,-87
-84,-63,-57,-91,-85
-85,-54,-60,-89,-89
-76,-50,-54,-91,-89
-74,-66,-52,-89,-85
-82,-63,-56,-89,-87
-71,-65,-57,-90,-87
-81,-63,-57,-86,-85
-72,-58,-52,-91,-89
-70,-65,-57,-89,-90
-76,-57,-55,-93,-89
-70,-64,-54,-90,-89
-82,-63,-57,-89,-85
-76,-63,-57,-90,-89
-78,-58,-51,-95,-88
-75,-58,-56,-91,-89
-84,-56,-50,-89,-89
-82,-58,-51,-90,-90
-77,-58,-54,-91,-89
-76,-58,-55,-91,-89
-80,-62,-57,-89,-85
-71,-63,-52,-89,-87
-71,-64,-54,-89,-87
-85,-64,-56,-91,-86
-73,-59,-67,-91,-89
-76,-63,-57,-89,-85
-73,-63,-64,-91,-86
-78,-63,-57,-89,-85
-75,-53,-59,-89,-86
-74,-58,-56,-89,-85
-77,-58,-52,-91,-89
-76,-56,-53,-91,-89
-77,-63,-50,-90,-87
-75,-58,-50,-91,-84
-76,-52,-59,-89,-85
-77,-62,-63,-91,-84
-77,-62,-57,-90,-88
-77,-60,-52,-86,-85
-77,-62,-55,-91,-85
-72,-64,-60,-89,-85
-73,-58,-53,-87,-84
-87,-58,-53,-89,-85
-75,-56,-54,-91,-89
-72,-59,-58,-86,-89
-77,-58,-54,-91,-89
-70,-64,-52,-92,-87
-75,-64,-56,-91,-88
-77,-64,-55,-89,-82
-77,-56,-64,-91,-86
-77,-65,-55,-92,-85
-71,-64,-53,-90,-87
-77,-63,-54,-89,-85
-100,-58,-52,-91,-89
-71,-58,-56,-87,-89
-73,-64,-58,-91,-88
-83,-52,-58,-89,-89
-77,-62,-55,-92,-86
-75,-65,-56,-91,-84
-80,-63,-58,-87,-85
-72,-62,-55,-93,-88
-74,-53,-53,-93,-89
-72,-64,-53,-90,-87
-73,-57,-61,-87,-89
-74,-58,-53,-91,-89
-74,-64,-58,-90,-87
-72,-61,-56,-90,-87
-70,-62,-57,-91,-86
-77,-63,-58,-89,-85
-77,-60,-52,-89,-85
-71,-64,-54,-90,-88
-69,-64,-53,-94,-90
-83,-63,-58,-89,-85
-81,-58,-52,-91,-89
-100,-64,-53,-89,-87
-71,-64,-53,-91,-87
-74,-62,-55,-91,-85
-77,-65,-54,-90,-87
-77,-61,-55,-89,-88
-82,-62,-54,-89,-89
-76,-65,-59,-94,-89
-82,-55,-55,-91,-89
-80,-57,-66,-91,-86
-76,-63,-55,-90,-88
-73,-58,-54,-91,-89
-78,-56,-63,-91,-87
-78,-61,-56,-89,-85
-78,-63,-55,-89,-85
-74,-56,-50,-90,-85
-77,-63,-57,-89,-85
-78,-63,-59,-95,-85
-78,-53,-59,-89,-85
-74,-63,-55,-91,-84
-70,-56,-56,-87,-89
-72,-64,-55,-90,-89
-77,-64,-58,-91,-84
-83,-58,-52,-91,-85
-78,-67,-52,-93,-86
-72,-76,-53,-91,-86
-73,-64,-53,-92,-87
-81,-54,-59,-89,-85
-76,-64,-56,-91,-84
-71,-63,-52,-91,-85
-76,-64,-56,-91,-84
-76,-51,-57,-89,-85
-75,-63,-56,-91,-85
-73,-57,-59,-95,-89
-72,-64,-54,-90,-89
-74,-54,-59,-94,-88
-79,-63,-57,-89,-85
-70,-68,-51,-90,-87
-72,-64,-54,-94,-88
-100,-63,-67,-89,-84
-77,-63,-55,-85,-85
-70,-64,-54,-90,-84
-79,-58,-45,-91,-84
-71,-64,-53,-90,-87
-77,-61,-58,-89,-92
-80,-54,-58,-89,-88
-74,-63,-56,-89,-85
-75,-58,-50,-93,-82
-78,-62,-56,-89,-85
-78,-62,-54,-89,-85
-74,-60,-55,-91,-84
-82,-55,-50,-91,-89
-75,-56,-57,-91,-89
-76,-64,-56,-91,-88
-72,-57,-57,-90,-89
-71,-64,-54,-90,-90
-83,-58,-53,-91,-88
-79,-63,-59,-87,-83
-68,-62,-54,-91,-85
-81,-58,-55,-91,-89
-82,-64,-54,-90,-87
-71,-64,-54,-90,-87
-79,-58,-54,-91,-89
-80,-55,-64,-88,-86
-72,-57,-57,-90,-89
-81,-58,-48,-92,-87
-73,-55,-54,-91,-89
-75,-62,-56,-90,-83
-74,-64,-55,-91,-84
-70,-64,-53,-90,-84
-70,-58,-48,-91,-87
-70,-64,-53,-90,-89
-75,-57,-56,-89,-85
-72,-71,-60,-89,-89
-70,-64,-51,-90,-86
-72,-64,-52,-90,-86
-76,-58,-52,-90,-88
-100,-62,-55,-86,-87
-76,-63,-54,-91,-84
-76,-64,-55,-91,-88
